,Query,Exact,Approximate
0,cluster analysis,"{'2297453548': {'relevancy': True, 'rank': 0}, '2162010601': {'relevancy': True, 'rank': 1}, '2157095084': {'relevancy': False, 'rank': 2}, '270055802': {'relevancy': True, 'rank': 3}, '1983385366': {'relevancy': True, 'rank': 4}, '348248771': {'relevancy': True, 'rank': 5}, '2472069284': {'relevancy': True, 'rank': 6}, '2148168557': {'relevancy': True, 'rank': 7}, '2131371111': {'relevancy': True, 'rank': 8}, '2593877498': {'relevancy': True, 'rank': 9}}","{'2297453548': {'relevancy': True, 'rank': 0}, '2162010601': {'relevancy': True, 'rank': 1}, '2157095084': {'relevancy': False, 'rank': 2}, '270055802': {'relevancy': True, 'rank': 3}, '1983385366': {'relevancy': True, 'rank': 4}, '348248771': {'relevancy': True, 'rank': 5}, '2472069284': {'relevancy': True, 'rank': 6}, '2148168557': {'relevancy': True, 'rank': 7}, '2131371111': {'relevancy': True, 'rank': 8}, '2593877498': {'relevancy': True, 'rank': 9}}"
1,Image segmentation,"{'2043898183': {'relevancy': False, 'rank': 0}, '2036349267': {'relevancy': True, 'rank': 1}, '2035765329': {'relevancy': False, 'rank': 2}, '2092200936': {'relevancy': False, 'rank': 3}, '310679509': {'relevancy': True, 'rank': 4}, '2127413303': {'relevancy': False, 'rank': 5}, '2157095084': {'relevancy': True, 'rank': 6}, '2093683311': {'relevancy': True, 'rank': 7}, '1976127713': {'relevancy': True, 'rank': 8}, '253945372': {'relevancy': True, 'rank': 9}}","{'2043898183': {'relevancy': False, 'rank': 0}, '2036349267': {'relevancy': True, 'rank': 1}, '2035765329': {'relevancy': False, 'rank': 2}, '2092200936': {'relevancy': False, 'rank': 3}, '310679509': {'relevancy': True, 'rank': 4}, '2127413303': {'relevancy': True, 'rank': 5}, '2157095084': {'relevancy': True, 'rank': 6}, '2093683311': {'relevancy': True, 'rank': 7}, '1976127713': {'relevancy': True, 'rank': 8}, '253945372': {'relevancy': True, 'rank': 9}}"
2,Parallel algorithm,"{'2302225927': {'relevancy': True, 'rank': 0}, '80220757': {'relevancy': True, 'rank': 1}, '2169650803': {'relevancy': False, 'rank': 2}, '2115172203': {'relevancy': False, 'rank': 3}, '2171934779': {'relevancy': False, 'rank': 4}, '35872053': {'relevancy': True, 'rank': 5}, '281476361': {'relevancy': False, 'rank': 6}, '81853563': {'relevancy': True, 'rank': 7}, '308309720': {'relevancy': True, 'rank': 8}, '2215287472': {'relevancy': False, 'rank': 9}}","{'2302225927': {'relevancy': True, 'rank': 0}, '80220757': {'relevancy': True, 'rank': 1}, '2169650803': {'relevancy': True, 'rank': 2}, '2115172203': {'relevancy': True, 'rank': 3}, '2171934779': {'relevancy': True, 'rank': 4}, '35872053': {'relevancy': True, 'rank': 5}, '281476361': {'relevancy': True, 'rank': 6}, '81853563': {'relevancy': True, 'rank': 7}, '308309720': {'relevancy': True, 'rank': 8}, '2215287472': {'relevancy': False, 'rank': 9}}"
3,Monte Carlo method,"{'1909000858': {'relevancy': True, 'rank': 0}, '2239053892': {'relevancy': False, 'rank': 1}, '2195048431': {'relevancy': False, 'rank': 2}, '2170351238': {'relevancy': False, 'rank': 3}, '2252608274': {'relevancy': True, 'rank': 4}, '2163147449': {'relevancy': True, 'rank': 5}, '1686062023': {'relevancy': False, 'rank': 6}, '2045140648': {'relevancy': True, 'rank': 7}, '2609046151': {'relevancy': False, 'rank': 8}, '421791603': {'relevancy': True, 'rank': 9}}","{'1909000858': {'relevancy': True, 'rank': 0}, '2239053892': {'relevancy': False, 'rank': 1}, '2195048431': {'relevancy': True, 'rank': 2}, '2170351238': {'relevancy': False, 'rank': 3}, '2252608274': {'relevancy': True, 'rank': 4}, '2163147449': {'relevancy': True, 'rank': 5}, '1686062023': {'relevancy': False, 'rank': 6}, '2045140648': {'relevancy': True, 'rank': 7}, '2609046151': {'relevancy': False, 'rank': 8}, '421791603': {'relevancy': True, 'rank': 9}}"
4,Convex optimization,"{'2170741153': {'relevancy': True, 'rank': 0}, '2139423477': {'relevancy': True, 'rank': 1}, '2169917266': {'relevancy': True, 'rank': 2}, '2093264594': {'relevancy': True, 'rank': 3}, '1033468496': {'relevancy': True, 'rank': 4}, '2170818885': {'relevancy': True, 'rank': 5}, '2102919211': {'relevancy': True, 'rank': 6}, '1483583928': {'relevancy': True, 'rank': 7}, '2121310506': {'relevancy': True, 'rank': 8}, '2118826745': {'relevancy': False, 'rank': 9}}","{'2170741153': {'relevancy': True, 'rank': 0}, '2139423477': {'relevancy': True, 'rank': 1}, '2169917266': {'relevancy': True, 'rank': 2}, '2093264594': {'relevancy': True, 'rank': 3}, '1033468496': {'relevancy': True, 'rank': 4}, '2170818885': {'relevancy': True, 'rank': 5}, '2102919211': {'relevancy': True, 'rank': 6}, '1483583928': {'relevancy': True, 'rank': 7}, '2121310506': {'relevancy': True, 'rank': 8}, '2118826745': {'relevancy': False, 'rank': 9}}"
5,Dimensionality reduction,"{'1994948623': {'relevancy': True, 'rank': 0}, '2133927917': {'relevancy': True, 'rank': 1}, '2139093703': {'relevancy': True, 'rank': 2}, '2142724104': {'relevancy': False, 'rank': 3}, '2071708429': {'relevancy': True, 'rank': 4}, '2716574103': {'relevancy': True, 'rank': 5}, '2034830207': {'relevancy': True, 'rank': 6}, '2052033419': {'relevancy': False, 'rank': 7}, '2141746552': {'relevancy': False, 'rank': 8}, '154923768': {'relevancy': False, 'rank': 9}}","{'1994948623': {'relevancy': True, 'rank': 0}, '2133927917': {'relevancy': True, 'rank': 1}, '2139093703': {'relevancy': True, 'rank': 2}, '2142724104': {'relevancy': False, 'rank': 3}, '2071708429': {'relevancy': True, 'rank': 4}, '2716574103': {'relevancy': True, 'rank': 5}, '2034830207': {'relevancy': True, 'rank': 6}, '2052033419': {'relevancy': True, 'rank': 7}, '2141746552': {'relevancy': False, 'rank': 8}, '154923768': {'relevancy': False, 'rank': 9}}"
6,Facial recognition system,"{'2151052353': {'relevancy': False, 'rank': 0}, '2159059659': {'relevancy': False, 'rank': 1}, '2114798098': {'relevancy': False, 'rank': 2}, '2242053196': {'relevancy': False, 'rank': 3}, '2119526225': {'relevancy': False, 'rank': 4}, '2124209379': {'relevancy': True, 'rank': 5}, '2154210516': {'relevancy': True, 'rank': 6}, '1999058758': {'relevancy': True, 'rank': 7}, '332721774': {'relevancy': True, 'rank': 8}, '2162010601': {'relevancy': True, 'rank': 9}}","{'2151052353': {'relevancy': False, 'rank': 0}, '2159059659': {'relevancy': False, 'rank': 1}, '2114798098': {'relevancy': False, 'rank': 2}, '2242053196': {'relevancy': False, 'rank': 3}, '2119526225': {'relevancy': False, 'rank': 4}, '2124209379': {'relevancy': True, 'rank': 5}, '2154210516': {'relevancy': True, 'rank': 6}, '1999058758': {'relevancy': True, 'rank': 7}, '332721774': {'relevancy': True, 'rank': 8}, '2162010601': {'relevancy': True, 'rank': 9}}"
7,k-nearest neighbors algorithm,"{'1850815613': {'relevancy': False, 'rank': 0}, '251023228': {'relevancy': True, 'rank': 1}, '2003907699': {'relevancy': True, 'rank': 2}, '2143047568': {'relevancy': True, 'rank': 3}, '2133357189': {'relevancy': False, 'rank': 4}, '2175552307': {'relevancy': False, 'rank': 5}, '2463054195': {'relevancy': True, 'rank': 6}, '527507227': {'relevancy': True, 'rank': 7}, '2021439546': {'relevancy': True, 'rank': 8}, '2145770163': {'relevancy': True, 'rank': 9}}","{'1850815613': {'relevancy': False, 'rank': 0}, '251023228': {'relevancy': True, 'rank': 1}, '2003907699': {'relevancy': True, 'rank': 2}, '2143047568': {'relevancy': True, 'rank': 3}, '2133357189': {'relevancy': False, 'rank': 4}, '2175552307': {'relevancy': False, 'rank': 5}, '2463054195': {'relevancy': True, 'rank': 6}, '527507227': {'relevancy': True, 'rank': 7}, '2021439546': {'relevancy': True, 'rank': 8}, '2145770163': {'relevancy': True, 'rank': 9}}"
8,Hierarchical clustering,"{'85322476': {'relevancy': True, 'rank': 0}, '2051956577': {'relevancy': True, 'rank': 1}, '2125104194': {'relevancy': True, 'rank': 2}, '2224220140': {'relevancy': False, 'rank': 3}, '2120281063': {'relevancy': True, 'rank': 4}, '2023947709': {'relevancy': True, 'rank': 5}, '2148168557': {'relevancy': True, 'rank': 6}, '2061915864': {'relevancy': True, 'rank': 7}, '2130881427': {'relevancy': True, 'rank': 8}, '2151264347': {'relevancy': False, 'rank': 9}}","{'85322476': {'relevancy': True, 'rank': 0}, '2051956577': {'relevancy': True, 'rank': 1}, '2125104194': {'relevancy': True, 'rank': 2}, '2224220140': {'relevancy': False, 'rank': 3}, '2120281063': {'relevancy': True, 'rank': 4}, '2023947709': {'relevancy': True, 'rank': 5}, '2148168557': {'relevancy': True, 'rank': 6}, '2061915864': {'relevancy': True, 'rank': 7}, '2130881427': {'relevancy': True, 'rank': 8}, '2151264347': {'relevancy': False, 'rank': 9}}"
9,Automatic summarization,"{'2125676828': {'relevancy': False, 'rank': 0}, '2308861805': {'relevancy': False, 'rank': 1}, '2031458261': {'relevancy': False, 'rank': 2}, '2104582966': {'relevancy': False, 'rank': 3}, '2143408729': {'relevancy': False, 'rank': 4}, '659736712': {'relevancy': True, 'rank': 5}, '2478334157': {'relevancy': False, 'rank': 6}, '2411627636': {'relevancy': False, 'rank': 7}, '129070380': {'relevancy': False, 'rank': 8}, '2101230262': {'relevancy': True, 'rank': 9}}","{'2125676828': {'relevancy': True, 'rank': 0}, '2308861805': {'relevancy': False, 'rank': 1}, '2031458261': {'relevancy': False, 'rank': 2}, '2104582966': {'relevancy': False, 'rank': 3}, '2143408729': {'relevancy': False, 'rank': 4}, '659736712': {'relevancy': True, 'rank': 5}, '2478334157': {'relevancy': False, 'rank': 6}, '2411627636': {'relevancy': False, 'rank': 7}, '129070380': {'relevancy': False, 'rank': 8}, '2101230262': {'relevancy': True, 'rank': 9}}"
