,Query,Exact,Approximate
0,cluster analysis,"{'2297453548': {'relevancy': True, 'rank': 0}, '2162010601': {'relevancy': True, 'rank': 1}, '242745652': {'relevancy': True, 'rank': 2}, '2130881427': {'relevancy': True, 'rank': 3}, '2151264347': {'relevancy': True, 'rank': 4}, '2593877498': {'relevancy': True, 'rank': 5}, '310734946': {'relevancy': True, 'rank': 6}, '2234654910': {'relevancy': True, 'rank': 7}, '2147372191': {'relevancy': True, 'rank': 8}, '1268354611': {'relevancy': True, 'rank': 9}}","{'2297453548': {'relevancy': True, 'rank': 0}, '2162010601': {'relevancy': True, 'rank': 1}, '242745652': {'relevancy': True, 'rank': 2}, '2130881427': {'relevancy': True, 'rank': 3}, '2151264347': {'relevancy': True, 'rank': 4}, '2593877498': {'relevancy': True, 'rank': 5}, '310734946': {'relevancy': True, 'rank': 6}, '2234654910': {'relevancy': True, 'rank': 7}, '2147372191': {'relevancy': True, 'rank': 8}, '1268354611': {'relevancy': True, 'rank': 9}}"
1,Image segmentation,"{'2043898183': {'relevancy': False, 'rank': 0}, '2036349267': {'relevancy': True, 'rank': 1}, '2485693601': {'relevancy': True, 'rank': 2}, '2066208128': {'relevancy': True, 'rank': 3}, '2035765329': {'relevancy': False, 'rank': 4}, '2092200936': {'relevancy': False, 'rank': 5}, '213607884': {'relevancy': True, 'rank': 6}, '2287919390': {'relevancy': True, 'rank': 7}, '2136642730': {'relevancy': True, 'rank': 8}, '2127413303': {'relevancy': False, 'rank': 9}}","{'2043898183': {'relevancy': False, 'rank': 0}, '2036349267': {'relevancy': True, 'rank': 1}, '2485693601': {'relevancy': True, 'rank': 2}, '2066208128': {'relevancy': True, 'rank': 3}, '2035765329': {'relevancy': False, 'rank': 4}, '2092200936': {'relevancy': False, 'rank': 5}, '213607884': {'relevancy': True, 'rank': 6}, '2287919390': {'relevancy': True, 'rank': 7}, '2136642730': {'relevancy': True, 'rank': 8}, '2127413303': {'relevancy': True, 'rank': 9}}"
2,Parallel algorithm,"{'2302225927': {'relevancy': True, 'rank': 0}, '80220757': {'relevancy': True, 'rank': 1}, '1964658237': {'relevancy': True, 'rank': 2}, '2224270997': {'relevancy': False, 'rank': 3}, '2207318694': {'relevancy': True, 'rank': 4}, '2161062602': {'relevancy': True, 'rank': 5}, '219814910': {'relevancy': True, 'rank': 6}, '81853563': {'relevancy': True, 'rank': 7}, '308309720': {'relevancy': True, 'rank': 8}, '1988624275': {'relevancy': False, 'rank': 9}}","{'2302225927': {'relevancy': True, 'rank': 0}, '80220757': {'relevancy': True, 'rank': 1}, '1964658237': {'relevancy': True, 'rank': 2}, '2224270997': {'relevancy': False, 'rank': 3}, '2207318694': {'relevancy': True, 'rank': 4}, '2161062602': {'relevancy': True, 'rank': 5}, '219814910': {'relevancy': True, 'rank': 6}, '81853563': {'relevancy': True, 'rank': 7}, '308309720': {'relevancy': True, 'rank': 8}, '1988624275': {'relevancy': False, 'rank': 9}}"
3,Monte Carlo method,"{'1977909497': {'relevancy': True, 'rank': 0}, '2289324944': {'relevancy': True, 'rank': 1}, '2593774290': {'relevancy': True, 'rank': 2}, '2154272878': {'relevancy': True, 'rank': 3}, '1985963267': {'relevancy': True, 'rank': 4}, '2056153991': {'relevancy': True, 'rank': 5}, '323956792': {'relevancy': True, 'rank': 6}, '617670330': {'relevancy': True, 'rank': 7}, '2302106352': {'relevancy': True, 'rank': 8}, '1776718037': {'relevancy': True, 'rank': 9}}","{'1977909497': {'relevancy': True, 'rank': 0}, '2289324944': {'relevancy': True, 'rank': 1}, '2593774290': {'relevancy': True, 'rank': 2}, '2154272878': {'relevancy': True, 'rank': 3}, '1985963267': {'relevancy': True, 'rank': 4}, '2056153991': {'relevancy': True, 'rank': 5}, '323956792': {'relevancy': True, 'rank': 6}, '617670330': {'relevancy': True, 'rank': 7}, '2302106352': {'relevancy': True, 'rank': 8}, '1776718037': {'relevancy': True, 'rank': 9}}"
4,Convex optimization,"{'2139423477': {'relevancy': True, 'rank': 0}, '2107142044': {'relevancy': True, 'rank': 1}, '2170741153': {'relevancy': True, 'rank': 2}, '122224463': {'relevancy': True, 'rank': 3}, '2212735395': {'relevancy': True, 'rank': 4}, '2300062457': {'relevancy': True, 'rank': 5}, '2293419568': {'relevancy': True, 'rank': 6}, '2169917266': {'relevancy': True, 'rank': 7}, '1483583928': {'relevancy': True, 'rank': 8}, '2379218101': {'relevancy': True, 'rank': 9}}","{'2139423477': {'relevancy': True, 'rank': 0}, '2107142044': {'relevancy': True, 'rank': 1}, '2170741153': {'relevancy': True, 'rank': 2}, '122224463': {'relevancy': True, 'rank': 3}, '2212735395': {'relevancy': True, 'rank': 4}, '2300062457': {'relevancy': True, 'rank': 5}, '2293419568': {'relevancy': True, 'rank': 6}, '2169917266': {'relevancy': True, 'rank': 7}, '1483583928': {'relevancy': True, 'rank': 8}, '2379218101': {'relevancy': True, 'rank': 9}}"
5,Dimensionality reduction,"{'2130456104': {'relevancy': True, 'rank': 0}, '2152966300': {'relevancy': True, 'rank': 1}, '2275403261': {'relevancy': True, 'rank': 2}, '2106380001': {'relevancy': True, 'rank': 3}, '2071708429': {'relevancy': True, 'rank': 4}, '2072849696': {'relevancy': True, 'rank': 5}, '2144292550': {'relevancy': True, 'rank': 6}, '1933080361': {'relevancy': True, 'rank': 7}, '2134858009': {'relevancy': True, 'rank': 8}, '2003165903': {'relevancy': True, 'rank': 9}}","{'2130456104': {'relevancy': True, 'rank': 0}, '2152966300': {'relevancy': True, 'rank': 1}, '2275403261': {'relevancy': True, 'rank': 2}, '2106380001': {'relevancy': True, 'rank': 3}, '2071708429': {'relevancy': True, 'rank': 4}, '2072849696': {'relevancy': True, 'rank': 5}, '2144292550': {'relevancy': True, 'rank': 6}, '1933080361': {'relevancy': True, 'rank': 7}, '2134858009': {'relevancy': True, 'rank': 8}, '2003165903': {'relevancy': True, 'rank': 9}}"
6,Facial recognition system,"{'1984012976': {'relevancy': True, 'rank': 0}, '2227416660': {'relevancy': True, 'rank': 1}, '2140539176': {'relevancy': True, 'rank': 2}, '1994112182': {'relevancy': True, 'rank': 3}, '2114684898': {'relevancy': True, 'rank': 4}, '2046410517': {'relevancy': True, 'rank': 5}, '2232213365': {'relevancy': True, 'rank': 6}, '2125282896': {'relevancy': True, 'rank': 7}, '66820806': {'relevancy': True, 'rank': 8}, '2697264264': {'relevancy': True, 'rank': 9}}","{'1984012976': {'relevancy': True, 'rank': 0}, '2227416660': {'relevancy': True, 'rank': 1}, '2140539176': {'relevancy': True, 'rank': 2}, '1994112182': {'relevancy': True, 'rank': 3}, '2114684898': {'relevancy': True, 'rank': 4}, '2046410517': {'relevancy': True, 'rank': 5}, '2232213365': {'relevancy': True, 'rank': 6}, '2125282896': {'relevancy': True, 'rank': 7}, '66820806': {'relevancy': True, 'rank': 8}, '2697264264': {'relevancy': True, 'rank': 9}}"
7,k-nearest neighbors algorithm,"{'22135093': {'relevancy': True, 'rank': 0}, '2152243552': {'relevancy': True, 'rank': 1}, '80813837': {'relevancy': True, 'rank': 2}, '2217777545': {'relevancy': True, 'rank': 3}, '2463054195': {'relevancy': True, 'rank': 4}, '2117105010': {'relevancy': False, 'rank': 5}, '251023228': {'relevancy': True, 'rank': 6}, '139967712': {'relevancy': True, 'rank': 7}, '2472035779': {'relevancy': True, 'rank': 8}, '2003907699': {'relevancy': True, 'rank': 9}}","{'22135093': {'relevancy': True, 'rank': 0}, '2152243552': {'relevancy': True, 'rank': 1}, '80813837': {'relevancy': True, 'rank': 2}, '2217777545': {'relevancy': True, 'rank': 3}, '2463054195': {'relevancy': True, 'rank': 4}, '2117105010': {'relevancy': False, 'rank': 5}, '251023228': {'relevancy': True, 'rank': 6}, '139967712': {'relevancy': True, 'rank': 7}, '2472035779': {'relevancy': True, 'rank': 8}, '2003907699': {'relevancy': True, 'rank': 9}}"
8,Hierarchical clustering,"{'85322476': {'relevancy': True, 'rank': 0}, '2224220140': {'relevancy': False, 'rank': 1}, '2021582686': {'relevancy': True, 'rank': 2}, '1908336426': {'relevancy': False, 'rank': 3}, '2081194568': {'relevancy': True, 'rank': 4}, '342584380': {'relevancy': True, 'rank': 5}, '147023852': {'relevancy': True, 'rank': 6}, '2472035779': {'relevancy': True, 'rank': 7}, '2118051275': {'relevancy': True, 'rank': 8}, '2142267468': {'relevancy': True, 'rank': 9}}","{'85322476': {'relevancy': True, 'rank': 0}, '2224220140': {'relevancy': False, 'rank': 1}, '2021582686': {'relevancy': True, 'rank': 2}, '1908336426': {'relevancy': True, 'rank': 3}, '2081194568': {'relevancy': True, 'rank': 4}, '342584380': {'relevancy': True, 'rank': 5}, '147023852': {'relevancy': True, 'rank': 6}, '2472035779': {'relevancy': True, 'rank': 7}, '2118051275': {'relevancy': True, 'rank': 8}, '2142267468': {'relevancy': True, 'rank': 9}}"
9,Automatic summarization,"{'2046588481': {'relevancy': True, 'rank': 0}, '2159460278': {'relevancy': False, 'rank': 1}, '739034446': {'relevancy': True, 'rank': 2}, '613661480': {'relevancy': True, 'rank': 3}, '2101230262': {'relevancy': True, 'rank': 4}, '2304167133': {'relevancy': True, 'rank': 5}, '1853234685': {'relevancy': True, 'rank': 6}, '2130363192': {'relevancy': True, 'rank': 7}, '157790613': {'relevancy': True, 'rank': 8}, '114841185': {'relevancy': True, 'rank': 9}}","{'2046588481': {'relevancy': True, 'rank': 0}, '2159460278': {'relevancy': False, 'rank': 1}, '739034446': {'relevancy': True, 'rank': 2}, '613661480': {'relevancy': True, 'rank': 3}, '2101230262': {'relevancy': True, 'rank': 4}, '2304167133': {'relevancy': True, 'rank': 5}, '1853234685': {'relevancy': True, 'rank': 6}, '2130363192': {'relevancy': True, 'rank': 7}, '157790613': {'relevancy': True, 'rank': 8}, '114841185': {'relevancy': True, 'rank': 9}}"
