,Query,Exact,Approximate
0,cluster analysis,"{2162010601: {'relevancy': True, 'rank': 0}, 2121939561: {'relevancy': True, 'rank': 1}, 2065219374: {'relevancy': True, 'rank': 2}, 2297453548: {'relevancy': True, 'rank': 3}, 2112237679: {'relevancy': True, 'rank': 4}, 2052065285: {'relevancy': True, 'rank': 5}, 1919135125: {'relevancy': True, 'rank': 6}, 2151264347: {'relevancy': True, 'rank': 7}, 2472069284: {'relevancy': True, 'rank': 8}, 2142724104: {'relevancy': True, 'rank': 9}}","{2162010601: {'relevancy': True, 'rank': 0}, 2121939561: {'relevancy': True, 'rank': 1}, 2065219374: {'relevancy': True, 'rank': 2}, 2297453548: {'relevancy': True, 'rank': 3}, 2112237679: {'relevancy': True, 'rank': 4}, 2052065285: {'relevancy': True, 'rank': 5}, 1919135125: {'relevancy': True, 'rank': 6}, 2151264347: {'relevancy': True, 'rank': 7}, 2472069284: {'relevancy': True, 'rank': 8}, 2142724104: {'relevancy': True, 'rank': 9}}"
1,Image segmentation,"{2162010601: {'relevancy': True, 'rank': 0}, 2121939561: {'relevancy': False, 'rank': 1}, 2065219374: {'relevancy': False, 'rank': 2}, 2297453548: {'relevancy': True, 'rank': 3}, 2112237679: {'relevancy': True, 'rank': 4}, 1919135125: {'relevancy': True, 'rank': 5}, 2052065285: {'relevancy': True, 'rank': 6}, 2151264347: {'relevancy': False, 'rank': 7}, 2142724104: {'relevancy': False, 'rank': 8}, 2472069284: {'relevancy': True, 'rank': 9}}","{2162010601: {'relevancy': True, 'rank': 0}, 2121939561: {'relevancy': True, 'rank': 1}, 2065219374: {'relevancy': False, 'rank': 2}, 2297453548: {'relevancy': True, 'rank': 3}, 2112237679: {'relevancy': True, 'rank': 4}, 1919135125: {'relevancy': True, 'rank': 5}, 2052065285: {'relevancy': True, 'rank': 6}, 2151264347: {'relevancy': False, 'rank': 7}, 2142724104: {'relevancy': True, 'rank': 8}, 2472069284: {'relevancy': True, 'rank': 9}}"
2,Parallel algorithm,"{2121939561: {'relevancy': True, 'rank': 0}, 2065219374: {'relevancy': True, 'rank': 1}, 2297453548: {'relevancy': False, 'rank': 2}, 2112237679: {'relevancy': False, 'rank': 3}, 2151264347: {'relevancy': False, 'rank': 4}, 2472069284: {'relevancy': True, 'rank': 5}, 416744812: {'relevancy': False, 'rank': 6}, 2149631809: {'relevancy': True, 'rank': 7}, 2161062602: {'relevancy': True, 'rank': 8}, 1919135125: {'relevancy': True, 'rank': 9}}","{2121939561: {'relevancy': True, 'rank': 0}, 2065219374: {'relevancy': True, 'rank': 1}, 2297453548: {'relevancy': False, 'rank': 2}, 2112237679: {'relevancy': False, 'rank': 3}, 2151264347: {'relevancy': False, 'rank': 4}, 2472069284: {'relevancy': True, 'rank': 5}, 416744812: {'relevancy': True, 'rank': 6}, 2149631809: {'relevancy': True, 'rank': 7}, 2161062602: {'relevancy': True, 'rank': 8}, 1919135125: {'relevancy': True, 'rank': 9}}"
3,Monte Carlo method,"{2162010601: {'relevancy': True, 'rank': 0}, 2121939561: {'relevancy': True, 'rank': 1}, 2065219374: {'relevancy': True, 'rank': 2}, 2297453548: {'relevancy': False, 'rank': 3}, 2112237679: {'relevancy': False, 'rank': 4}, 2052065285: {'relevancy': True, 'rank': 5}, 1919135125: {'relevancy': True, 'rank': 6}, 2151264347: {'relevancy': False, 'rank': 7}, 2472069284: {'relevancy': True, 'rank': 8}, 2142724104: {'relevancy': True, 'rank': 9}}","{2162010601: {'relevancy': True, 'rank': 0}, 2121939561: {'relevancy': True, 'rank': 1}, 2065219374: {'relevancy': True, 'rank': 2}, 2297453548: {'relevancy': False, 'rank': 3}, 2112237679: {'relevancy': False, 'rank': 4}, 2052065285: {'relevancy': True, 'rank': 5}, 1919135125: {'relevancy': True, 'rank': 6}, 2151264347: {'relevancy': False, 'rank': 7}, 2472069284: {'relevancy': True, 'rank': 8}, 2142724104: {'relevancy': True, 'rank': 9}}"
4,Convex optimization,"{2162010601: {'relevancy': True, 'rank': 0}, 2144833106: {'relevancy': True, 'rank': 1}, 2039740766: {'relevancy': True, 'rank': 2}, 2155853947: {'relevancy': True, 'rank': 3}, 2023947709: {'relevancy': False, 'rank': 4}, 2128298010: {'relevancy': False, 'rank': 5}, 2121939561: {'relevancy': False, 'rank': 6}, 2065219374: {'relevancy': False, 'rank': 7}, 2297453548: {'relevancy': False, 'rank': 8}, 2112237679: {'relevancy': False, 'rank': 9}}","{2162010601: {'relevancy': True, 'rank': 0}, 2144833106: {'relevancy': True, 'rank': 1}, 2039740766: {'relevancy': True, 'rank': 2}, 2155853947: {'relevancy': True, 'rank': 3}, 2023947709: {'relevancy': False, 'rank': 4}, 2128298010: {'relevancy': False, 'rank': 5}, 2121939561: {'relevancy': False, 'rank': 6}, 2065219374: {'relevancy': False, 'rank': 7}, 2297453548: {'relevancy': False, 'rank': 8}, 2112237679: {'relevancy': False, 'rank': 9}}"
5,Dimensionality reduction,"{2162010601: {'relevancy': True, 'rank': 0}, 1624679253: {'relevancy': True, 'rank': 1}, 2121939561: {'relevancy': True, 'rank': 2}, 2065219374: {'relevancy': True, 'rank': 3}, 2297453548: {'relevancy': True, 'rank': 4}, 2112237679: {'relevancy': False, 'rank': 5}, 2052065285: {'relevancy': True, 'rank': 6}, 1919135125: {'relevancy': True, 'rank': 7}, 2151264347: {'relevancy': False, 'rank': 8}, 2163830057: {'relevancy': True, 'rank': 9}}","{2162010601: {'relevancy': True, 'rank': 0}, 1624679253: {'relevancy': True, 'rank': 1}, 2121939561: {'relevancy': True, 'rank': 2}, 2065219374: {'relevancy': True, 'rank': 3}, 2297453548: {'relevancy': True, 'rank': 4}, 2112237679: {'relevancy': False, 'rank': 5}, 2052065285: {'relevancy': True, 'rank': 6}, 1919135125: {'relevancy': True, 'rank': 7}, 2151264347: {'relevancy': False, 'rank': 8}, 2163830057: {'relevancy': True, 'rank': 9}}"
6,Facial recognition system,"{2162010601: {'relevancy': True, 'rank': 0}, 2163830057: {'relevancy': True, 'rank': 1}, 2125199914: {'relevancy': True, 'rank': 2}, 2149631809: {'relevancy': True, 'rank': 3}, 2007797616: {'relevancy': True, 'rank': 4}, 2121939561: {'relevancy': True, 'rank': 5}, 2065219374: {'relevancy': False, 'rank': 6}, 2297453548: {'relevancy': True, 'rank': 7}, 2112237679: {'relevancy': False, 'rank': 8}, 2052065285: {'relevancy': False, 'rank': 9}}","{2162010601: {'relevancy': True, 'rank': 0}, 2163830057: {'relevancy': True, 'rank': 1}, 2125199914: {'relevancy': True, 'rank': 2}, 2149631809: {'relevancy': True, 'rank': 3}, 2007797616: {'relevancy': True, 'rank': 4}, 2121939561: {'relevancy': True, 'rank': 5}, 2065219374: {'relevancy': False, 'rank': 6}, 2297453548: {'relevancy': True, 'rank': 7}, 2112237679: {'relevancy': False, 'rank': 8}, 2052065285: {'relevancy': False, 'rank': 9}}"
7,k-nearest neighbors algorithm,"{218354731: {'relevancy': True, 'rank': 0}, 2154949119: {'relevancy': True, 'rank': 1}, 2310402581: {'relevancy': True, 'rank': 2}, 2034912444: {'relevancy': True, 'rank': 3}, 45678088: {'relevancy': True, 'rank': 4}, 2162010601: {'relevancy': True, 'rank': 5}, 2121939561: {'relevancy': True, 'rank': 6}, 2065219374: {'relevancy': False, 'rank': 7}, 2297453548: {'relevancy': True, 'rank': 8}, 2112237679: {'relevancy': False, 'rank': 9}}","{218354731: {'relevancy': True, 'rank': 0}, 2154949119: {'relevancy': True, 'rank': 1}, 2310402581: {'relevancy': True, 'rank': 2}, 2034912444: {'relevancy': True, 'rank': 3}, 45678088: {'relevancy': True, 'rank': 4}, 2162010601: {'relevancy': True, 'rank': 5}, 2121939561: {'relevancy': True, 'rank': 6}, 2065219374: {'relevancy': False, 'rank': 7}, 2297453548: {'relevancy': True, 'rank': 8}, 2112237679: {'relevancy': False, 'rank': 9}}"
8,Hierarchical clustering,"{2224220140: {'relevancy': False, 'rank': 0}, 356043702: {'relevancy': False, 'rank': 1}, 2162010601: {'relevancy': True, 'rank': 2}, 2297453548: {'relevancy': True, 'rank': 3}, 2112237679: {'relevancy': True, 'rank': 4}, 1919135125: {'relevancy': True, 'rank': 5}, 2472069284: {'relevancy': True, 'rank': 6}, 2022528053: {'relevancy': False, 'rank': 7}, 2142724104: {'relevancy': False, 'rank': 8}, 2161062602: {'relevancy': True, 'rank': 9}}","{2224220140: {'relevancy': False, 'rank': 0}, 356043702: {'relevancy': True, 'rank': 1}, 2162010601: {'relevancy': True, 'rank': 2}, 2297453548: {'relevancy': True, 'rank': 3}, 2112237679: {'relevancy': True, 'rank': 4}, 1919135125: {'relevancy': True, 'rank': 5}, 2472069284: {'relevancy': True, 'rank': 6}, 2022528053: {'relevancy': False, 'rank': 7}, 2142724104: {'relevancy': False, 'rank': 8}, 2161062602: {'relevancy': True, 'rank': 9}}"
9,Automatic summarization,"{2121939561: {'relevancy': True, 'rank': 0}, 2140539176: {'relevancy': False, 'rank': 1}, 2194670409: {'relevancy': False, 'rank': 2}, 2295219575: {'relevancy': False, 'rank': 3}, 2129405715: {'relevancy': True, 'rank': 4}, 2162010601: {'relevancy': False, 'rank': 5}, 2065219374: {'relevancy': False, 'rank': 6}, 2297453548: {'relevancy': False, 'rank': 7}, 2112237679: {'relevancy': False, 'rank': 8}, 2052065285: {'relevancy': False, 'rank': 9}}","{2121939561: {'relevancy': True, 'rank': 0}, 2140539176: {'relevancy': True, 'rank': 1}, 2194670409: {'relevancy': False, 'rank': 2}, 2295219575: {'relevancy': False, 'rank': 3}, 2129405715: {'relevancy': True, 'rank': 4}, 2162010601: {'relevancy': True, 'rank': 5}, 2065219374: {'relevancy': False, 'rank': 6}, 2297453548: {'relevancy': True, 'rank': 7}, 2112237679: {'relevancy': False, 'rank': 8}, 2052065285: {'relevancy': False, 'rank': 9}}"
