,Query,Exact,Approximate
0,cluster analysis,"{'2297453548': {'relevancy': True, 'rank': 0}, '2162010601': {'relevancy': True, 'rank': 1}, '2151264347': {'relevancy': True, 'rank': 2}, '2593877498': {'relevancy': True, 'rank': 3}, '310734946': {'relevancy': True, 'rank': 4}, '2234654910': {'relevancy': True, 'rank': 5}, '242745652': {'relevancy': True, 'rank': 6}, '338487653': {'relevancy': True, 'rank': 7}, '85322476': {'relevancy': True, 'rank': 8}, '2130881427': {'relevancy': True, 'rank': 9}}","{'2297453548': {'relevancy': True, 'rank': 0}, '2162010601': {'relevancy': True, 'rank': 1}, '2151264347': {'relevancy': True, 'rank': 2}, '2593877498': {'relevancy': True, 'rank': 3}, '310734946': {'relevancy': True, 'rank': 4}, '2234654910': {'relevancy': True, 'rank': 5}, '242745652': {'relevancy': True, 'rank': 6}, '338487653': {'relevancy': True, 'rank': 7}, '85322476': {'relevancy': True, 'rank': 8}, '2130881427': {'relevancy': True, 'rank': 9}}"
1,Image segmentation,"{'2036349267': {'relevancy': True, 'rank': 0}, '2287919390': {'relevancy': True, 'rank': 1}, '2162010601': {'relevancy': True, 'rank': 2}, '2157095084': {'relevancy': True, 'rank': 3}, '228273807': {'relevancy': True, 'rank': 4}, '2093683311': {'relevancy': True, 'rank': 5}, '2075286745': {'relevancy': True, 'rank': 6}, '511526681': {'relevancy': False, 'rank': 7}, '2100330728': {'relevancy': False, 'rank': 8}, '1975899429': {'relevancy': False, 'rank': 9}}","{'2036349267': {'relevancy': True, 'rank': 0}, '2287919390': {'relevancy': True, 'rank': 1}, '2162010601': {'relevancy': True, 'rank': 2}, '2157095084': {'relevancy': True, 'rank': 3}, '228273807': {'relevancy': True, 'rank': 4}, '2093683311': {'relevancy': True, 'rank': 5}, '2075286745': {'relevancy': True, 'rank': 6}, '511526681': {'relevancy': True, 'rank': 7}, '2100330728': {'relevancy': False, 'rank': 8}, '1975899429': {'relevancy': True, 'rank': 9}}"
2,Parallel algorithm,"{'2161062602': {'relevancy': True, 'rank': 0}, '219814910': {'relevancy': True, 'rank': 1}, '2302225927': {'relevancy': True, 'rank': 2}, '80220757': {'relevancy': True, 'rank': 3}, '1964658237': {'relevancy': True, 'rank': 4}, '2165917828': {'relevancy': True, 'rank': 5}, '2291386233': {'relevancy': True, 'rank': 6}, '2139423477': {'relevancy': False, 'rank': 7}, '2142501412': {'relevancy': False, 'rank': 8}, '2108840372': {'relevancy': True, 'rank': 9}}","{'2161062602': {'relevancy': True, 'rank': 0}, '219814910': {'relevancy': True, 'rank': 1}, '2302225927': {'relevancy': True, 'rank': 2}, '80220757': {'relevancy': True, 'rank': 3}, '1964658237': {'relevancy': True, 'rank': 4}, '2165917828': {'relevancy': True, 'rank': 5}, '2291386233': {'relevancy': True, 'rank': 6}, '2139423477': {'relevancy': False, 'rank': 7}, '2142501412': {'relevancy': False, 'rank': 8}, '2108840372': {'relevancy': True, 'rank': 9}}"
3,Monte Carlo method,"{'1985963267': {'relevancy': True, 'rank': 0}, '2154272878': {'relevancy': True, 'rank': 1}, '1977909497': {'relevancy': True, 'rank': 2}, '1738588212': {'relevancy': False, 'rank': 3}, '183722240': {'relevancy': True, 'rank': 4}, '1525557627': {'relevancy': True, 'rank': 5}, '2097653880': {'relevancy': True, 'rank': 6}, '1964658237': {'relevancy': True, 'rank': 7}, '2001057030': {'relevancy': True, 'rank': 8}, '2119693131': {'relevancy': True, 'rank': 9}}","{'1985963267': {'relevancy': True, 'rank': 0}, '2154272878': {'relevancy': True, 'rank': 1}, '1977909497': {'relevancy': True, 'rank': 2}, '1738588212': {'relevancy': False, 'rank': 3}, '183722240': {'relevancy': True, 'rank': 4}, '1525557627': {'relevancy': True, 'rank': 5}, '2097653880': {'relevancy': True, 'rank': 6}, '1964658237': {'relevancy': True, 'rank': 7}, '2001057030': {'relevancy': True, 'rank': 8}, '2119693131': {'relevancy': True, 'rank': 9}}"
4,Convex optimization,"{'2212735395': {'relevancy': True, 'rank': 0}, '2170741153': {'relevancy': True, 'rank': 1}, '2169917266': {'relevancy': True, 'rank': 2}, '2107142044': {'relevancy': True, 'rank': 3}, '2118826745': {'relevancy': False, 'rank': 4}, '2139423477': {'relevancy': True, 'rank': 5}, '122224463': {'relevancy': True, 'rank': 6}, '2293419568': {'relevancy': True, 'rank': 7}, '1483583928': {'relevancy': True, 'rank': 8}, '2344913757': {'relevancy': True, 'rank': 9}}","{'2212735395': {'relevancy': True, 'rank': 0}, '2170741153': {'relevancy': True, 'rank': 1}, '2169917266': {'relevancy': True, 'rank': 2}, '2107142044': {'relevancy': True, 'rank': 3}, '2118826745': {'relevancy': False, 'rank': 4}, '2139423477': {'relevancy': True, 'rank': 5}, '122224463': {'relevancy': True, 'rank': 6}, '2293419568': {'relevancy': True, 'rank': 7}, '1483583928': {'relevancy': True, 'rank': 8}, '2344913757': {'relevancy': True, 'rank': 9}}"
5,Dimensionality reduction,"{'2106380001': {'relevancy': True, 'rank': 0}, '2071708429': {'relevancy': True, 'rank': 1}, '2134858009': {'relevancy': True, 'rank': 2}, '2152966300': {'relevancy': True, 'rank': 3}, '2275403261': {'relevancy': True, 'rank': 4}, '2144292550': {'relevancy': True, 'rank': 5}, '1933080361': {'relevancy': True, 'rank': 6}, '2716574103': {'relevancy': True, 'rank': 7}, '334859500': {'relevancy': True, 'rank': 8}, '60615692': {'relevancy': True, 'rank': 9}}","{'2106380001': {'relevancy': True, 'rank': 0}, '2071708429': {'relevancy': True, 'rank': 1}, '2134858009': {'relevancy': True, 'rank': 2}, '2152966300': {'relevancy': True, 'rank': 3}, '2275403261': {'relevancy': True, 'rank': 4}, '2144292550': {'relevancy': True, 'rank': 5}, '1933080361': {'relevancy': True, 'rank': 6}, '2716574103': {'relevancy': True, 'rank': 7}, '334859500': {'relevancy': True, 'rank': 8}, '60615692': {'relevancy': True, 'rank': 9}}"
6,Facial recognition system,"{'2162010601': {'relevancy': True, 'rank': 0}, '2302610210': {'relevancy': True, 'rank': 1}, '1877528474': {'relevancy': True, 'rank': 2}, '2140539176': {'relevancy': True, 'rank': 3}, '2469405535': {'relevancy': True, 'rank': 4}, '2042301190': {'relevancy': True, 'rank': 5}, '2130918525': {'relevancy': True, 'rank': 6}, '2286237009': {'relevancy': True, 'rank': 7}, '2155451605': {'relevancy': True, 'rank': 8}, '2036349267': {'relevancy': True, 'rank': 9}}","{'2162010601': {'relevancy': True, 'rank': 0}, '2302610210': {'relevancy': True, 'rank': 1}, '1877528474': {'relevancy': True, 'rank': 2}, '2140539176': {'relevancy': True, 'rank': 3}, '2469405535': {'relevancy': True, 'rank': 4}, '2042301190': {'relevancy': True, 'rank': 5}, '2130918525': {'relevancy': True, 'rank': 6}, '2286237009': {'relevancy': True, 'rank': 7}, '2155451605': {'relevancy': True, 'rank': 8}, '2036349267': {'relevancy': True, 'rank': 9}}"
7,k-nearest neighbors algorithm,"{'22135093': {'relevancy': True, 'rank': 0}, '2104328312': {'relevancy': True, 'rank': 1}, '2463054195': {'relevancy': True, 'rank': 2}, '2152243552': {'relevancy': True, 'rank': 3}, '2577754147': {'relevancy': True, 'rank': 4}, '2265797067': {'relevancy': True, 'rank': 5}, '251023228': {'relevancy': True, 'rank': 6}, '80813837': {'relevancy': True, 'rank': 7}, '2217777545': {'relevancy': True, 'rank': 8}, '2472035779': {'relevancy': True, 'rank': 9}}","{'22135093': {'relevancy': True, 'rank': 0}, '2104328312': {'relevancy': True, 'rank': 1}, '2463054195': {'relevancy': True, 'rank': 2}, '2152243552': {'relevancy': True, 'rank': 3}, '2577754147': {'relevancy': True, 'rank': 4}, '2265797067': {'relevancy': True, 'rank': 5}, '251023228': {'relevancy': True, 'rank': 6}, '80813837': {'relevancy': True, 'rank': 7}, '2217777545': {'relevancy': True, 'rank': 8}, '2472035779': {'relevancy': True, 'rank': 9}}"
8,Hierarchical clustering,"{'85322476': {'relevancy': True, 'rank': 0}, '2224220140': {'relevancy': False, 'rank': 1}, '2160479021': {'relevancy': False, 'rank': 2}, '2003230124': {'relevancy': True, 'rank': 3}, '2151264347': {'relevancy': False, 'rank': 4}, '2021582686': {'relevancy': True, 'rank': 5}, '2023947709': {'relevancy': True, 'rank': 6}, '2097567527': {'relevancy': False, 'rank': 7}, '2131293038': {'relevancy': False, 'rank': 8}, '2560595684': {'relevancy': True, 'rank': 9}}","{'85322476': {'relevancy': True, 'rank': 0}, '2224220140': {'relevancy': False, 'rank': 1}, '2160479021': {'relevancy': False, 'rank': 2}, '2003230124': {'relevancy': True, 'rank': 3}, '2151264347': {'relevancy': False, 'rank': 4}, '2021582686': {'relevancy': True, 'rank': 5}, '2023947709': {'relevancy': True, 'rank': 6}, '2097567527': {'relevancy': False, 'rank': 7}, '2131293038': {'relevancy': False, 'rank': 8}, '2560595684': {'relevancy': True, 'rank': 9}}"
9,Automatic summarization,"{'2101230262': {'relevancy': True, 'rank': 0}, '613661480': {'relevancy': True, 'rank': 1}, '739034446': {'relevancy': True, 'rank': 2}, '1853234685': {'relevancy': True, 'rank': 3}, '2046588481': {'relevancy': True, 'rank': 4}, '2080327427': {'relevancy': True, 'rank': 5}, '2019867208': {'relevancy': True, 'rank': 6}, '2106879214': {'relevancy': True, 'rank': 7}, '2304167133': {'relevancy': True, 'rank': 8}, '2159460278': {'relevancy': False, 'rank': 9}}","{'2101230262': {'relevancy': True, 'rank': 0}, '613661480': {'relevancy': True, 'rank': 1}, '739034446': {'relevancy': True, 'rank': 2}, '1853234685': {'relevancy': True, 'rank': 3}, '2046588481': {'relevancy': True, 'rank': 4}, '2080327427': {'relevancy': True, 'rank': 5}, '2019867208': {'relevancy': True, 'rank': 6}, '2106879214': {'relevancy': True, 'rank': 7}, '2304167133': {'relevancy': True, 'rank': 8}, '2159460278': {'relevancy': False, 'rank': 9}}"
