,Query,Exact,Approximate
0,cluster analysis,"{2162010601: {'relevancy': True, 'rank': 0}, 2121939561: {'relevancy': True, 'rank': 1}, 2065219374: {'relevancy': True, 'rank': 2}, 2297453548: {'relevancy': True, 'rank': 3}, 2112237679: {'relevancy': True, 'rank': 4}, 2052065285: {'relevancy': True, 'rank': 5}, 2151264347: {'relevancy': True, 'rank': 6}, 1919135125: {'relevancy': True, 'rank': 7}, 2161062602: {'relevancy': True, 'rank': 8}, 2472069284: {'relevancy': True, 'rank': 9}}","{2162010601: {'relevancy': True, 'rank': 0}, 2121939561: {'relevancy': True, 'rank': 1}, 2065219374: {'relevancy': True, 'rank': 2}, 2297453548: {'relevancy': True, 'rank': 3}, 2112237679: {'relevancy': True, 'rank': 4}, 2052065285: {'relevancy': True, 'rank': 5}, 2151264347: {'relevancy': True, 'rank': 6}, 1919135125: {'relevancy': True, 'rank': 7}, 2161062602: {'relevancy': True, 'rank': 8}, 2472069284: {'relevancy': True, 'rank': 9}}"
1,Image segmentation,"{2469405535: {'relevancy': True, 'rank': 0}, 2162010601: {'relevancy': True, 'rank': 1}, 2121939561: {'relevancy': False, 'rank': 2}, 2065219374: {'relevancy': False, 'rank': 3}, 2297453548: {'relevancy': True, 'rank': 4}, 2112237679: {'relevancy': True, 'rank': 5}, 1965883356: {'relevancy': True, 'rank': 6}, 610238476: {'relevancy': True, 'rank': 7}, 2142724104: {'relevancy': False, 'rank': 8}, 2052065285: {'relevancy': True, 'rank': 9}}","{2469405535: {'relevancy': True, 'rank': 0}, 2162010601: {'relevancy': True, 'rank': 1}, 2121939561: {'relevancy': True, 'rank': 2}, 2065219374: {'relevancy': False, 'rank': 3}, 2297453548: {'relevancy': True, 'rank': 4}, 2112237679: {'relevancy': True, 'rank': 5}, 1965883356: {'relevancy': True, 'rank': 6}, 610238476: {'relevancy': True, 'rank': 7}, 2142724104: {'relevancy': True, 'rank': 8}, 2052065285: {'relevancy': True, 'rank': 9}}"
2,Parallel algorithm,"{2224270997: {'relevancy': False, 'rank': 0}, 2121939561: {'relevancy': True, 'rank': 1}, 2161062602: {'relevancy': True, 'rank': 2}, 2123190830: {'relevancy': False, 'rank': 3}, 1624679253: {'relevancy': False, 'rank': 4}, 2162010601: {'relevancy': True, 'rank': 5}, 2065219374: {'relevancy': True, 'rank': 6}, 2297453548: {'relevancy': False, 'rank': 7}, 2112237679: {'relevancy': False, 'rank': 8}, 2052065285: {'relevancy': False, 'rank': 9}}","{2224270997: {'relevancy': False, 'rank': 0}, 2121939561: {'relevancy': True, 'rank': 1}, 2161062602: {'relevancy': True, 'rank': 2}, 2123190830: {'relevancy': False, 'rank': 3}, 1624679253: {'relevancy': False, 'rank': 4}, 2162010601: {'relevancy': True, 'rank': 5}, 2065219374: {'relevancy': True, 'rank': 6}, 2297453548: {'relevancy': False, 'rank': 7}, 2112237679: {'relevancy': False, 'rank': 8}, 2052065285: {'relevancy': False, 'rank': 9}}"
3,Monte Carlo method,"{2162010601: {'relevancy': True, 'rank': 0}, 2121939561: {'relevancy': True, 'rank': 1}, 2065219374: {'relevancy': True, 'rank': 2}, 2297453548: {'relevancy': False, 'rank': 3}, 2112237679: {'relevancy': False, 'rank': 4}, 2052065285: {'relevancy': True, 'rank': 5}, 2151264347: {'relevancy': False, 'rank': 6}, 1919135125: {'relevancy': True, 'rank': 7}, 2161062602: {'relevancy': False, 'rank': 8}, 2472069284: {'relevancy': True, 'rank': 9}}","{2162010601: {'relevancy': True, 'rank': 0}, 2121939561: {'relevancy': True, 'rank': 1}, 2065219374: {'relevancy': True, 'rank': 2}, 2297453548: {'relevancy': False, 'rank': 3}, 2112237679: {'relevancy': False, 'rank': 4}, 2052065285: {'relevancy': True, 'rank': 5}, 2151264347: {'relevancy': False, 'rank': 6}, 1919135125: {'relevancy': True, 'rank': 7}, 2161062602: {'relevancy': False, 'rank': 8}, 2472069284: {'relevancy': True, 'rank': 9}}"
4,Convex optimization,"{2162010601: {'relevancy': True, 'rank': 0}, 2169363483: {'relevancy': True, 'rank': 1}, 2155853947: {'relevancy': True, 'rank': 2}, 2023947709: {'relevancy': False, 'rank': 3}, 1999235599: {'relevancy': False, 'rank': 4}, 2121939561: {'relevancy': False, 'rank': 5}, 2065219374: {'relevancy': False, 'rank': 6}, 2297453548: {'relevancy': False, 'rank': 7}, 2112237679: {'relevancy': False, 'rank': 8}, 2052065285: {'relevancy': False, 'rank': 9}}","{2162010601: {'relevancy': True, 'rank': 0}, 2169363483: {'relevancy': True, 'rank': 1}, 2155853947: {'relevancy': True, 'rank': 2}, 2023947709: {'relevancy': False, 'rank': 3}, 1999235599: {'relevancy': False, 'rank': 4}, 2121939561: {'relevancy': False, 'rank': 5}, 2065219374: {'relevancy': False, 'rank': 6}, 2297453548: {'relevancy': False, 'rank': 7}, 2112237679: {'relevancy': False, 'rank': 8}, 2052065285: {'relevancy': True, 'rank': 9}}"
5,Dimensionality reduction,"{2162010601: {'relevancy': True, 'rank': 0}, 2104129307: {'relevancy': True, 'rank': 1}, 2121939561: {'relevancy': True, 'rank': 2}, 2065219374: {'relevancy': True, 'rank': 3}, 2297453548: {'relevancy': True, 'rank': 4}, 2112237679: {'relevancy': False, 'rank': 5}, 2052065285: {'relevancy': True, 'rank': 6}, 2151264347: {'relevancy': False, 'rank': 7}, 1919135125: {'relevancy': True, 'rank': 8}, 2161062602: {'relevancy': True, 'rank': 9}}","{2162010601: {'relevancy': True, 'rank': 0}, 2104129307: {'relevancy': True, 'rank': 1}, 2121939561: {'relevancy': True, 'rank': 2}, 2065219374: {'relevancy': True, 'rank': 3}, 2297453548: {'relevancy': True, 'rank': 4}, 2112237679: {'relevancy': False, 'rank': 5}, 2052065285: {'relevancy': True, 'rank': 6}, 2151264347: {'relevancy': False, 'rank': 7}, 1919135125: {'relevancy': True, 'rank': 8}, 2161062602: {'relevancy': True, 'rank': 9}}"
6,Facial recognition system,"{2162010601: {'relevancy': True, 'rank': 0}, 2125199914: {'relevancy': True, 'rank': 1}, 2293457281: {'relevancy': True, 'rank': 2}, 2145238836: {'relevancy': True, 'rank': 3}, 2160663097: {'relevancy': True, 'rank': 4}, 2121939561: {'relevancy': True, 'rank': 5}, 2065219374: {'relevancy': False, 'rank': 6}, 2297453548: {'relevancy': True, 'rank': 7}, 2112237679: {'relevancy': False, 'rank': 8}, 2052065285: {'relevancy': False, 'rank': 9}}","{2162010601: {'relevancy': True, 'rank': 0}, 2125199914: {'relevancy': True, 'rank': 1}, 2293457281: {'relevancy': True, 'rank': 2}, 2145238836: {'relevancy': True, 'rank': 3}, 2160663097: {'relevancy': True, 'rank': 4}, 2121939561: {'relevancy': True, 'rank': 5}, 2065219374: {'relevancy': False, 'rank': 6}, 2297453548: {'relevancy': True, 'rank': 7}, 2112237679: {'relevancy': False, 'rank': 8}, 2052065285: {'relevancy': False, 'rank': 9}}"
7,k-nearest neighbors algorithm,"{2065219374: {'relevancy': False, 'rank': 0}, 2297453548: {'relevancy': True, 'rank': 1}, 2112237679: {'relevancy': False, 'rank': 2}, 2161062602: {'relevancy': True, 'rank': 3}, 219814910: {'relevancy': True, 'rank': 4}, 1919135125: {'relevancy': True, 'rank': 5}, 47842845: {'relevancy': False, 'rank': 6}, 2162010601: {'relevancy': True, 'rank': 7}, 2121939561: {'relevancy': True, 'rank': 8}, 2151264347: {'relevancy': False, 'rank': 9}}","{2065219374: {'relevancy': False, 'rank': 0}, 2297453548: {'relevancy': True, 'rank': 1}, 2112237679: {'relevancy': False, 'rank': 2}, 2161062602: {'relevancy': True, 'rank': 3}, 219814910: {'relevancy': True, 'rank': 4}, 1919135125: {'relevancy': True, 'rank': 5}, 47842845: {'relevancy': False, 'rank': 6}, 2162010601: {'relevancy': True, 'rank': 7}, 2121939561: {'relevancy': True, 'rank': 8}, 2151264347: {'relevancy': False, 'rank': 9}}"
8,Hierarchical clustering,"{2297453548: {'relevancy': True, 'rank': 0}, 2112237679: {'relevancy': True, 'rank': 1}, 1919135125: {'relevancy': True, 'rank': 2}, 2121846507: {'relevancy': False, 'rank': 3}, 2250462127: {'relevancy': False, 'rank': 4}, 2107450698: {'relevancy': False, 'rank': 5}, 428893813: {'relevancy': True, 'rank': 6}, 2067196623: {'relevancy': True, 'rank': 7}, 2023947709: {'relevancy': True, 'rank': 8}, 2009949849: {'relevancy': False, 'rank': 9}}","{2297453548: {'relevancy': True, 'rank': 0}, 2112237679: {'relevancy': True, 'rank': 1}, 1919135125: {'relevancy': True, 'rank': 2}, 2121846507: {'relevancy': True, 'rank': 3}, 2250462127: {'relevancy': False, 'rank': 4}, 2107450698: {'relevancy': False, 'rank': 5}, 428893813: {'relevancy': True, 'rank': 6}, 2067196623: {'relevancy': True, 'rank': 7}, 2023947709: {'relevancy': True, 'rank': 8}, 2009949849: {'relevancy': False, 'rank': 9}}"
9,Automatic summarization,"{2239304286: {'relevancy': False, 'rank': 0}, 2155888323: {'relevancy': True, 'rank': 1}, 2121939561: {'relevancy': True, 'rank': 2}, 2065219374: {'relevancy': False, 'rank': 3}, 2297453548: {'relevancy': False, 'rank': 4}, 2112237679: {'relevancy': False, 'rank': 5}, 2052065285: {'relevancy': False, 'rank': 6}, 2151264347: {'relevancy': False, 'rank': 7}, 1919135125: {'relevancy': False, 'rank': 8}, 2161062602: {'relevancy': True, 'rank': 9}}","{2239304286: {'relevancy': False, 'rank': 0}, 2155888323: {'relevancy': True, 'rank': 1}, 2121939561: {'relevancy': True, 'rank': 2}, 2065219374: {'relevancy': False, 'rank': 3}, 2297453548: {'relevancy': True, 'rank': 4}, 2112237679: {'relevancy': False, 'rank': 5}, 2052065285: {'relevancy': False, 'rank': 6}, 2151264347: {'relevancy': False, 'rank': 7}, 1919135125: {'relevancy': False, 'rank': 8}, 2161062602: {'relevancy': True, 'rank': 9}}"
