,Query,Exact,Approximate
0,cluster analysis,"{2162010601: {'relevancy': True, 'rank': 0}, 2121939561: {'relevancy': True, 'rank': 1}, 2065219374: {'relevancy': True, 'rank': 2}, 2112237679: {'relevancy': True, 'rank': 3}, 2052065285: {'relevancy': True, 'rank': 4}, 2297453548: {'relevancy': True, 'rank': 5}, 2151264347: {'relevancy': True, 'rank': 6}, 1919135125: {'relevancy': True, 'rank': 7}, 2472069284: {'relevancy': True, 'rank': 8}, 2142724104: {'relevancy': True, 'rank': 9}}","{2162010601: {'relevancy': True, 'rank': 0}, 2121939561: {'relevancy': True, 'rank': 1}, 2065219374: {'relevancy': True, 'rank': 2}, 2112237679: {'relevancy': True, 'rank': 3}, 2052065285: {'relevancy': True, 'rank': 4}, 2297453548: {'relevancy': True, 'rank': 5}, 2151264347: {'relevancy': True, 'rank': 6}, 1919135125: {'relevancy': True, 'rank': 7}, 2472069284: {'relevancy': True, 'rank': 8}, 2142724104: {'relevancy': True, 'rank': 9}}"
1,Image segmentation,"{2469405535: {'relevancy': True, 'rank': 0}, 2059675198: {'relevancy': True, 'rank': 1}, 2162010601: {'relevancy': True, 'rank': 2}, 2121939561: {'relevancy': False, 'rank': 3}, 2065219374: {'relevancy': False, 'rank': 4}, 2112237679: {'relevancy': True, 'rank': 5}, 2052065285: {'relevancy': True, 'rank': 6}, 2297453548: {'relevancy': True, 'rank': 7}, 2151264347: {'relevancy': False, 'rank': 8}, 1919135125: {'relevancy': True, 'rank': 9}}","{2469405535: {'relevancy': True, 'rank': 0}, 2059675198: {'relevancy': True, 'rank': 1}, 2162010601: {'relevancy': True, 'rank': 2}, 2121939561: {'relevancy': True, 'rank': 3}, 2065219374: {'relevancy': False, 'rank': 4}, 2112237679: {'relevancy': True, 'rank': 5}, 2052065285: {'relevancy': True, 'rank': 6}, 2297453548: {'relevancy': True, 'rank': 7}, 2151264347: {'relevancy': False, 'rank': 8}, 1919135125: {'relevancy': True, 'rank': 9}}"
2,Parallel algorithm,"{2121939561: {'relevancy': True, 'rank': 0}, 2149631809: {'relevancy': True, 'rank': 1}, 2435751034: {'relevancy': False, 'rank': 2}, 2162010601: {'relevancy': True, 'rank': 3}, 2065219374: {'relevancy': True, 'rank': 4}, 2112237679: {'relevancy': False, 'rank': 5}, 2297453548: {'relevancy': False, 'rank': 6}, 2151264347: {'relevancy': False, 'rank': 7}, 2472069284: {'relevancy': True, 'rank': 8}, 2142724104: {'relevancy': False, 'rank': 9}}","{2121939561: {'relevancy': True, 'rank': 0}, 2149631809: {'relevancy': True, 'rank': 1}, 2435751034: {'relevancy': True, 'rank': 2}, 2162010601: {'relevancy': True, 'rank': 3}, 2065219374: {'relevancy': True, 'rank': 4}, 2112237679: {'relevancy': False, 'rank': 5}, 2297453548: {'relevancy': False, 'rank': 6}, 2151264347: {'relevancy': False, 'rank': 7}, 2472069284: {'relevancy': True, 'rank': 8}, 2142724104: {'relevancy': False, 'rank': 9}}"
3,Monte Carlo method,"{2162010601: {'relevancy': True, 'rank': 0}, 2121939561: {'relevancy': True, 'rank': 1}, 2065219374: {'relevancy': True, 'rank': 2}, 2112237679: {'relevancy': False, 'rank': 3}, 2052065285: {'relevancy': True, 'rank': 4}, 2297453548: {'relevancy': False, 'rank': 5}, 2151264347: {'relevancy': False, 'rank': 6}, 1919135125: {'relevancy': True, 'rank': 7}, 2472069284: {'relevancy': True, 'rank': 8}, 2142724104: {'relevancy': True, 'rank': 9}}","{2162010601: {'relevancy': True, 'rank': 0}, 2121939561: {'relevancy': True, 'rank': 1}, 2065219374: {'relevancy': True, 'rank': 2}, 2112237679: {'relevancy': False, 'rank': 3}, 2052065285: {'relevancy': True, 'rank': 4}, 2297453548: {'relevancy': False, 'rank': 5}, 2151264347: {'relevancy': False, 'rank': 6}, 1919135125: {'relevancy': True, 'rank': 7}, 2472069284: {'relevancy': True, 'rank': 8}, 2142724104: {'relevancy': True, 'rank': 9}}"
4,Convex optimization,"{2162010601: {'relevancy': True, 'rank': 0}, 338287261: {'relevancy': True, 'rank': 1}, 2155853947: {'relevancy': True, 'rank': 2}, 2039740766: {'relevancy': True, 'rank': 3}, 2121939561: {'relevancy': False, 'rank': 4}, 2065219374: {'relevancy': False, 'rank': 5}, 2112237679: {'relevancy': False, 'rank': 6}, 2052065285: {'relevancy': False, 'rank': 7}, 2297453548: {'relevancy': False, 'rank': 8}, 2151264347: {'relevancy': False, 'rank': 9}}","{2162010601: {'relevancy': True, 'rank': 0}, 338287261: {'relevancy': True, 'rank': 1}, 2155853947: {'relevancy': True, 'rank': 2}, 2039740766: {'relevancy': True, 'rank': 3}, 2121939561: {'relevancy': False, 'rank': 4}, 2065219374: {'relevancy': False, 'rank': 5}, 2112237679: {'relevancy': False, 'rank': 6}, 2052065285: {'relevancy': True, 'rank': 7}, 2297453548: {'relevancy': False, 'rank': 8}, 2151264347: {'relevancy': False, 'rank': 9}}"
5,Dimensionality reduction,"{2162010601: {'relevancy': True, 'rank': 0}, 2104129307: {'relevancy': True, 'rank': 1}, 2469405535: {'relevancy': True, 'rank': 2}, 2121939561: {'relevancy': True, 'rank': 3}, 2065219374: {'relevancy': True, 'rank': 4}, 2112237679: {'relevancy': False, 'rank': 5}, 2052065285: {'relevancy': True, 'rank': 6}, 2297453548: {'relevancy': True, 'rank': 7}, 2151264347: {'relevancy': False, 'rank': 8}, 1919135125: {'relevancy': True, 'rank': 9}}","{2162010601: {'relevancy': True, 'rank': 0}, 2104129307: {'relevancy': True, 'rank': 1}, 2469405535: {'relevancy': True, 'rank': 2}, 2121939561: {'relevancy': True, 'rank': 3}, 2065219374: {'relevancy': True, 'rank': 4}, 2112237679: {'relevancy': False, 'rank': 5}, 2052065285: {'relevancy': True, 'rank': 6}, 2297453548: {'relevancy': True, 'rank': 7}, 2151264347: {'relevancy': False, 'rank': 8}, 1919135125: {'relevancy': True, 'rank': 9}}"
6,Facial recognition system,"{2162010601: {'relevancy': True, 'rank': 0}, 2125199914: {'relevancy': True, 'rank': 1}, 2144833106: {'relevancy': True, 'rank': 2}, 2149631809: {'relevancy': True, 'rank': 3}, 2115220948: {'relevancy': True, 'rank': 4}, 2121939561: {'relevancy': True, 'rank': 5}, 2065219374: {'relevancy': False, 'rank': 6}, 2112237679: {'relevancy': False, 'rank': 7}, 2052065285: {'relevancy': False, 'rank': 8}, 2297453548: {'relevancy': True, 'rank': 9}}","{2162010601: {'relevancy': True, 'rank': 0}, 2125199914: {'relevancy': True, 'rank': 1}, 2144833106: {'relevancy': True, 'rank': 2}, 2149631809: {'relevancy': True, 'rank': 3}, 2115220948: {'relevancy': True, 'rank': 4}, 2121939561: {'relevancy': True, 'rank': 5}, 2065219374: {'relevancy': False, 'rank': 6}, 2112237679: {'relevancy': False, 'rank': 7}, 2052065285: {'relevancy': False, 'rank': 8}, 2297453548: {'relevancy': True, 'rank': 9}}"
7,k-nearest neighbors algorithm,"{1967999909: {'relevancy': True, 'rank': 0}, 2162010601: {'relevancy': True, 'rank': 1}, 2121939561: {'relevancy': True, 'rank': 2}, 2065219374: {'relevancy': False, 'rank': 3}, 2112237679: {'relevancy': False, 'rank': 4}, 2297453548: {'relevancy': True, 'rank': 5}, 1919135125: {'relevancy': True, 'rank': 6}, 2151264347: {'relevancy': False, 'rank': 7}, 1999058758: {'relevancy': False, 'rank': 8}, 2121082737: {'relevancy': True, 'rank': 9}}","{1967999909: {'relevancy': True, 'rank': 0}, 2162010601: {'relevancy': True, 'rank': 1}, 2121939561: {'relevancy': True, 'rank': 2}, 2065219374: {'relevancy': False, 'rank': 3}, 2112237679: {'relevancy': False, 'rank': 4}, 2297453548: {'relevancy': True, 'rank': 5}, 1919135125: {'relevancy': True, 'rank': 6}, 2151264347: {'relevancy': False, 'rank': 7}, 1999058758: {'relevancy': False, 'rank': 8}, 2121082737: {'relevancy': True, 'rank': 9}}"
8,Hierarchical clustering,"{2112237679: {'relevancy': True, 'rank': 0}, 2297453548: {'relevancy': True, 'rank': 1}, 1919135125: {'relevancy': True, 'rank': 2}, 2149631809: {'relevancy': True, 'rank': 3}, 2142724104: {'relevancy': False, 'rank': 4}, 2107450698: {'relevancy': False, 'rank': 5}, 428893813: {'relevancy': True, 'rank': 6}, 2067196623: {'relevancy': True, 'rank': 7}, 2161062602: {'relevancy': True, 'rank': 8}, 2121846507: {'relevancy': False, 'rank': 9}}","{2112237679: {'relevancy': True, 'rank': 0}, 2297453548: {'relevancy': True, 'rank': 1}, 1919135125: {'relevancy': True, 'rank': 2}, 2149631809: {'relevancy': True, 'rank': 3}, 2142724104: {'relevancy': False, 'rank': 4}, 2107450698: {'relevancy': False, 'rank': 5}, 428893813: {'relevancy': True, 'rank': 6}, 2067196623: {'relevancy': True, 'rank': 7}, 2161062602: {'relevancy': True, 'rank': 8}, 2121846507: {'relevancy': True, 'rank': 9}}"
9,Automatic summarization,"{2155888323: {'relevancy': True, 'rank': 0}, 2049499784: {'relevancy': False, 'rank': 1}, 2227920884: {'relevancy': False, 'rank': 2}, 2121939561: {'relevancy': True, 'rank': 3}, 2065219374: {'relevancy': False, 'rank': 4}, 2112237679: {'relevancy': False, 'rank': 5}, 2052065285: {'relevancy': False, 'rank': 6}, 2297453548: {'relevancy': False, 'rank': 7}, 2151264347: {'relevancy': False, 'rank': 8}, 1919135125: {'relevancy': False, 'rank': 9}}","{2155888323: {'relevancy': True, 'rank': 0}, 2049499784: {'relevancy': False, 'rank': 1}, 2227920884: {'relevancy': False, 'rank': 2}, 2121939561: {'relevancy': True, 'rank': 3}, 2065219374: {'relevancy': False, 'rank': 4}, 2112237679: {'relevancy': False, 'rank': 5}, 2052065285: {'relevancy': False, 'rank': 6}, 2297453548: {'relevancy': True, 'rank': 7}, 2151264347: {'relevancy': False, 'rank': 8}, 1919135125: {'relevancy': False, 'rank': 9}}"
