,Query,Exact,Approximate
0,cluster analysis,"{'2162010601': {'relevancy': True, 'rank': 0}, '2297453548': {'relevancy': True, 'rank': 1}, '2052065285': {'relevancy': True, 'rank': 2}, '2148168557': {'relevancy': True, 'rank': 3}, '2151264347': {'relevancy': True, 'rank': 4}, '2112237679': {'relevancy': True, 'rank': 5}, '373247138': {'relevancy': False, 'rank': 6}, '2593877498': {'relevancy': True, 'rank': 7}, '310734946': {'relevancy': True, 'rank': 8}, '2234654910': {'relevancy': True, 'rank': 9}}","{'2162010601': {'relevancy': True, 'rank': 0}, '2297453548': {'relevancy': True, 'rank': 1}, '2052065285': {'relevancy': True, 'rank': 2}, '2148168557': {'relevancy': True, 'rank': 3}, '2151264347': {'relevancy': True, 'rank': 4}, '2112237679': {'relevancy': True, 'rank': 5}, '373247138': {'relevancy': False, 'rank': 6}, '2593877498': {'relevancy': True, 'rank': 7}, '310734946': {'relevancy': True, 'rank': 8}, '2234654910': {'relevancy': True, 'rank': 9}}"
1,Image segmentation,"{'2066208128': {'relevancy': True, 'rank': 0}, '2065104188': {'relevancy': True, 'rank': 1}, '2485693601': {'relevancy': True, 'rank': 2}, '2002213426': {'relevancy': True, 'rank': 3}, '2136642730': {'relevancy': True, 'rank': 4}, '2095609082': {'relevancy': True, 'rank': 5}, '2313998105': {'relevancy': True, 'rank': 6}, '2136556746': {'relevancy': True, 'rank': 7}, '2013206790': {'relevancy': True, 'rank': 8}, '2303296323': {'relevancy': False, 'rank': 9}}","{'2066208128': {'relevancy': True, 'rank': 0}, '2065104188': {'relevancy': True, 'rank': 1}, '2485693601': {'relevancy': True, 'rank': 2}, '2002213426': {'relevancy': True, 'rank': 3}, '2136642730': {'relevancy': True, 'rank': 4}, '2095609082': {'relevancy': True, 'rank': 5}, '2313998105': {'relevancy': True, 'rank': 6}, '2136556746': {'relevancy': True, 'rank': 7}, '2013206790': {'relevancy': True, 'rank': 8}, '2303296323': {'relevancy': False, 'rank': 9}}"
2,Parallel algorithm,"{'2139423477': {'relevancy': False, 'rank': 0}, '2302225927': {'relevancy': True, 'rank': 1}, '80220757': {'relevancy': True, 'rank': 2}, '1964658237': {'relevancy': True, 'rank': 3}, '2291386233': {'relevancy': True, 'rank': 4}, '2142501412': {'relevancy': False, 'rank': 5}, '2165917828': {'relevancy': True, 'rank': 6}, '2108840372': {'relevancy': True, 'rank': 7}, '2207318694': {'relevancy': True, 'rank': 8}, '2169650803': {'relevancy': False, 'rank': 9}}","{'2139423477': {'relevancy': False, 'rank': 0}, '2302225927': {'relevancy': True, 'rank': 1}, '80220757': {'relevancy': True, 'rank': 2}, '1964658237': {'relevancy': True, 'rank': 3}, '2291386233': {'relevancy': True, 'rank': 4}, '2142501412': {'relevancy': False, 'rank': 5}, '2165917828': {'relevancy': True, 'rank': 6}, '2108840372': {'relevancy': True, 'rank': 7}, '2207318694': {'relevancy': True, 'rank': 8}, '2169650803': {'relevancy': True, 'rank': 9}}"
3,Monte Carlo method,"{'1985963267': {'relevancy': True, 'rank': 0}, '1977909497': {'relevancy': True, 'rank': 1}, '2154272878': {'relevancy': True, 'rank': 2}, '1738588212': {'relevancy': False, 'rank': 3}, '1525557627': {'relevancy': True, 'rank': 4}, '323956792': {'relevancy': True, 'rank': 5}, '2302106352': {'relevancy': True, 'rank': 6}, '183722240': {'relevancy': True, 'rank': 7}, '1624679253': {'relevancy': True, 'rank': 8}, '2187777059': {'relevancy': True, 'rank': 9}}","{'1985963267': {'relevancy': True, 'rank': 0}, '1977909497': {'relevancy': True, 'rank': 1}, '2154272878': {'relevancy': True, 'rank': 2}, '1738588212': {'relevancy': False, 'rank': 3}, '1525557627': {'relevancy': True, 'rank': 4}, '323956792': {'relevancy': True, 'rank': 5}, '2302106352': {'relevancy': True, 'rank': 6}, '183722240': {'relevancy': True, 'rank': 7}, '1624679253': {'relevancy': True, 'rank': 8}, '2187777059': {'relevancy': True, 'rank': 9}}"
4,Convex optimization,"{'2107142044': {'relevancy': True, 'rank': 0}, '2119837755': {'relevancy': True, 'rank': 1}, '2121310506': {'relevancy': True, 'rank': 2}, '2170741153': {'relevancy': True, 'rank': 3}, '2169917266': {'relevancy': True, 'rank': 4}, '2302225927': {'relevancy': True, 'rank': 5}, '1483583928': {'relevancy': True, 'rank': 6}, '2469620852': {'relevancy': True, 'rank': 7}, '2300062457': {'relevancy': True, 'rank': 8}, '2549065090': {'relevancy': True, 'rank': 9}}","{'2107142044': {'relevancy': True, 'rank': 0}, '2119837755': {'relevancy': True, 'rank': 1}, '2121310506': {'relevancy': True, 'rank': 2}, '2170741153': {'relevancy': True, 'rank': 3}, '2169917266': {'relevancy': True, 'rank': 4}, '2302225927': {'relevancy': True, 'rank': 5}, '1483583928': {'relevancy': True, 'rank': 6}, '2469620852': {'relevancy': True, 'rank': 7}, '2300062457': {'relevancy': True, 'rank': 8}, '2549065090': {'relevancy': True, 'rank': 9}}"
5,Dimensionality reduction,"{'2152966300': {'relevancy': True, 'rank': 0}, '2275403261': {'relevancy': True, 'rank': 1}, '2130456104': {'relevancy': True, 'rank': 2}, '60615692': {'relevancy': True, 'rank': 3}, '2104129307': {'relevancy': True, 'rank': 4}, '2015301000': {'relevancy': False, 'rank': 5}, '1910217217': {'relevancy': False, 'rank': 6}, '241126236': {'relevancy': False, 'rank': 7}, '2072849696': {'relevancy': True, 'rank': 8}, '2071708429': {'relevancy': True, 'rank': 9}}","{'2152966300': {'relevancy': True, 'rank': 0}, '2275403261': {'relevancy': True, 'rank': 1}, '2130456104': {'relevancy': True, 'rank': 2}, '60615692': {'relevancy': True, 'rank': 3}, '2104129307': {'relevancy': True, 'rank': 4}, '2015301000': {'relevancy': False, 'rank': 5}, '1910217217': {'relevancy': False, 'rank': 6}, '241126236': {'relevancy': False, 'rank': 7}, '2072849696': {'relevancy': True, 'rank': 8}, '2071708429': {'relevancy': True, 'rank': 9}}"
6,Facial recognition system,"{'2140064154': {'relevancy': True, 'rank': 0}, '2162010601': {'relevancy': True, 'rank': 1}, '2539519177': {'relevancy': True, 'rank': 2}, '2154013588': {'relevancy': True, 'rank': 3}, '2094728070': {'relevancy': True, 'rank': 4}, '2155451605': {'relevancy': True, 'rank': 5}, '2036349267': {'relevancy': True, 'rank': 6}, '2159577279': {'relevancy': True, 'rank': 7}, '2110644065': {'relevancy': True, 'rank': 8}, '1996223638': {'relevancy': True, 'rank': 9}}","{'2140064154': {'relevancy': True, 'rank': 0}, '2162010601': {'relevancy': True, 'rank': 1}, '2539519177': {'relevancy': True, 'rank': 2}, '2154013588': {'relevancy': True, 'rank': 3}, '2094728070': {'relevancy': True, 'rank': 4}, '2155451605': {'relevancy': True, 'rank': 5}, '2036349267': {'relevancy': True, 'rank': 6}, '2159577279': {'relevancy': True, 'rank': 7}, '2110644065': {'relevancy': True, 'rank': 8}, '1996223638': {'relevancy': True, 'rank': 9}}"
7,k-nearest neighbors algorithm,"{'22135093': {'relevancy': True, 'rank': 0}, '2152243552': {'relevancy': True, 'rank': 1}, '2577754147': {'relevancy': True, 'rank': 2}, '2265797067': {'relevancy': True, 'rank': 3}, '2104328312': {'relevancy': True, 'rank': 4}, '2463054195': {'relevancy': True, 'rank': 5}, '251023228': {'relevancy': True, 'rank': 6}, '80813837': {'relevancy': True, 'rank': 7}, '2217777545': {'relevancy': True, 'rank': 8}, '2472035779': {'relevancy': True, 'rank': 9}}","{'22135093': {'relevancy': True, 'rank': 0}, '2152243552': {'relevancy': True, 'rank': 1}, '2577754147': {'relevancy': True, 'rank': 2}, '2265797067': {'relevancy': True, 'rank': 3}, '2104328312': {'relevancy': True, 'rank': 4}, '2463054195': {'relevancy': True, 'rank': 5}, '251023228': {'relevancy': True, 'rank': 6}, '80813837': {'relevancy': True, 'rank': 7}, '2217777545': {'relevancy': True, 'rank': 8}, '2472035779': {'relevancy': True, 'rank': 9}}"
8,Hierarchical clustering,"{'85322476': {'relevancy': True, 'rank': 0}, '2224220140': {'relevancy': False, 'rank': 1}, '2160479021': {'relevancy': False, 'rank': 2}, '2021582686': {'relevancy': True, 'rank': 3}, '2118051275': {'relevancy': True, 'rank': 4}, '2142267468': {'relevancy': True, 'rank': 5}, '2472069284': {'relevancy': True, 'rank': 6}, '2160242406': {'relevancy': False, 'rank': 7}, '1908336426': {'relevancy': False, 'rank': 8}, '2023947709': {'relevancy': True, 'rank': 9}}","{'85322476': {'relevancy': True, 'rank': 0}, '2224220140': {'relevancy': False, 'rank': 1}, '2160479021': {'relevancy': False, 'rank': 2}, '2021582686': {'relevancy': True, 'rank': 3}, '2118051275': {'relevancy': True, 'rank': 4}, '2142267468': {'relevancy': True, 'rank': 5}, '2472069284': {'relevancy': True, 'rank': 6}, '2160242406': {'relevancy': False, 'rank': 7}, '1908336426': {'relevancy': True, 'rank': 8}, '2023947709': {'relevancy': True, 'rank': 9}}"
9,Automatic summarization,"{'2046588481': {'relevancy': True, 'rank': 0}, '2159460278': {'relevancy': False, 'rank': 1}, '739034446': {'relevancy': True, 'rank': 2}, '613661480': {'relevancy': True, 'rank': 3}, '114841185': {'relevancy': True, 'rank': 4}, '2121268200': {'relevancy': False, 'rank': 5}, '2050254073': {'relevancy': False, 'rank': 6}, '2239304286': {'relevancy': False, 'rank': 7}, '1853234685': {'relevancy': True, 'rank': 8}, '2130363192': {'relevancy': True, 'rank': 9}}","{'2046588481': {'relevancy': True, 'rank': 0}, '2159460278': {'relevancy': False, 'rank': 1}, '739034446': {'relevancy': True, 'rank': 2}, '613661480': {'relevancy': True, 'rank': 3}, '114841185': {'relevancy': True, 'rank': 4}, '2121268200': {'relevancy': False, 'rank': 5}, '2050254073': {'relevancy': False, 'rank': 6}, '2239304286': {'relevancy': False, 'rank': 7}, '1853234685': {'relevancy': True, 'rank': 8}, '2130363192': {'relevancy': True, 'rank': 9}}"
10,Dynamic programming,"{'80220757': {'relevancy': True, 'rank': 0}, '2107142044': {'relevancy': True, 'rank': 1}, '13215008': {'relevancy': True, 'rank': 2}, '189137728': {'relevancy': False, 'rank': 3}, '2252032993': {'relevancy': True, 'rank': 4}, '2027911405': {'relevancy': False, 'rank': 5}, '2032668272': {'relevancy': False, 'rank': 6}, '2008730852': {'relevancy': False, 'rank': 7}, '1965464342': {'relevancy': True, 'rank': 8}, '2141745054': {'relevancy': False, 'rank': 9}}","{'80220757': {'relevancy': True, 'rank': 0}, '2107142044': {'relevancy': True, 'rank': 1}, '13215008': {'relevancy': True, 'rank': 2}, '189137728': {'relevancy': True, 'rank': 3}, '2252032993': {'relevancy': True, 'rank': 4}, '2027911405': {'relevancy': False, 'rank': 5}, '2032668272': {'relevancy': False, 'rank': 6}, '2008730852': {'relevancy': False, 'rank': 7}, '1965464342': {'relevancy': True, 'rank': 8}, '2141745054': {'relevancy': False, 'rank': 9}}"
